A,AUPPER,ALOWER,UA,AREF,AURL,AR,ARUPPER,ARLOWER,UAR,ARREF,ARURL,ASTROMETRY,B,BUPPER,BLOWER,UB,BREF,BURL,BIGOM,BIGOMUPPER,BIGOMLOWER,UBIGOM,BIGOMREF,BIGOMURL,BINARY,BINARYREF,BINARYURL,BMV,CHI2,COMP,DATE,DEC,DEC_STRING,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,DENSITYREF,DENSITYURL,DEPTH,DEPTHUPPER,DEPTHLOWER,UDEPTH,DEPTHREF,DEPTHURL,DIST,DISTUPPER,DISTLOWER,UDIST,DISTREF,DISTURL,DR,DRUPPER,DRLOWER,UDR,DRREF,DRURL,DVDT,DVDTUPPER,DVDTLOWER,UDVDT,DVDTREF,DVDTURL,EANAME,EAURL,ECC,ECCUPPER,ECCLOWER,UECC,ECCREF,ECCURL,EOD,ETDNAME,ETDURL,FE,FEUPPER,FELOWER,UFE,FEREF,FEURL,FIRSTREF,FIRSTURL,FREEZE_ECC,GAMMA,GAMMAUPPER,GAMMALOWER,UGAMMA,GAMMAREF,GAMMAURL,GL,GRAVITY,GRAVITYUPPER,GRAVITYLOWER,UGRAVITY,GRAVITYREF,GRAVITYURL,H,HD,HIPP,HR,I,IUPPER,ILOWER,UI,IREF,IURL,IMAGING,J,JSNAME,EPEURL,K,KUPPER,KLOWER,UK,KREF,KURL,KOI,KS,KP,LAMBDA,LAMBDAUPPER,LAMBDALOWER,ULAMBDA,LAMBDAREF,LAMBDAURL,LOGG,LOGGUPPER,LOGGLOWER,ULOGG,LOGGREF,LOGGURL,MASS,MASSUPPER,MASSLOWER,UMASS,MASSREF,MASSURL,MICROLENSING,MSINI,MSINIUPPER,MSINILOWER,UMSINI,MSINIREF,MSINIURL,MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,MSTARREF,MSTARURL,MULT,NAME,NCOMP,NOBS,OM,OMUPPER,OMLOWER,UOM,OMREF,OMURL,ORBREF,ORBURL,OTHERNAME,PAR,PARUPPER,PARLOWER,UPAR,PER,PERUPPER,PERLOWER,UPER,PERREF,PERURL,PLANETDISCMETH,R,RUPPER,RLOWER,UR,RREF,RURL,RA,RA_STRING,RHK,RHOSTAR,RHOSTARUPPER,RHOSTARLOWER,URHOSTAR,RHOSTARREF,RHOSTARURL,RMS,RR,RRUPPER,RRLOWER,URR,RRREF,RRURL,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,RSTARREF,RSTARURL,SAO,SE,SEREF,SEURL,SEDEPTHJ,SEDEPTHJUPPER,SEDEPTHJLOWER,USEDEPTHJ,SEDEPTHJREF,SEDEPTHJURL,SEDEPTHH,SEDEPTHHUPPER,SEDEPTHHLOWER,USEDEPTHH,SEDEPTHHREF,SEDEPTHHURL,SEDEPTHKS,SEDEPTHKSUPPER,SEDEPTHKSLOWER,USEDEPTHKS,SEDEPTHKSREF,SEDEPTHKSURL,SEDEPTHKP,SEDEPTHKPUPPER,SEDEPTHKPLOWER,USEDEPTHKP,SEDEPTHKPREF,SEDEPTHKPURL,SEDEPTH36,SEDEPTH36UPPER,SEDEPTH36LOWER,USEDEPTH36,SEDEPTH36REF,SEDEPTH36URL,SEDEPTH45,SEDEPTH45UPPER,SEDEPTH45LOWER,USEDEPTH45,SEDEPTH45REF,SEDEPTH45URL,SEDEPTH58,SEDEPTH58UPPER,SEDEPTH58LOWER,USEDEPTH58,SEDEPTH58REF,SEDEPTH58URL,SEDEPTH80,SEDEPTH80UPPER,SEDEPTH80LOWER,USEDEPTH80,SEDEPTH80REF
0.0419466,0.00069911,0.00069911,0.00069911,Calculated,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,12.0697,5.91742,5.91742,5.91742,Calculated,,0,0.16,0.23,0.23,0.23,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,,,0,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,b,2014,50.09581111,+50:05:44.92,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Kepler-181 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-181+b&type=PLANET+HOST,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,1,,,,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,,,,,,,,,,,,,,12.948,,,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,13.364,Kepler-181,http://exoplanet.eu/star.php?st=Kepler-181,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,543.02,12.88,,,,,,,,4.619,0.3,0.3,0.3,,,0.00674351,0.00610454,0.00610454,0.00610454,estimated from radius; see EOD documentation,,0,,,,,,,,,,,,,1,Kepler-181 b,2,,90,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,KOI-543,,,,,3.137873,1.30E-05,1.30E-05,1.30E-05,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Transit,0.113302,0.0553127,0.0553127,0.0553127,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,19.74343056,+19:44:36.35,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.749,0.367,0.367,0.367,,,,0,Predicted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.64869,0.0489036,0.0489036,0.0489036,Calculated,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,70.4673,3.07769,3.07769,3.07769,Calculated,,0,,,,,,,,,,,,,0,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,1.009,,b,2011,24.648825,+24:38:55.77,,,,,,,,,,,,,123.198,10.8321,9.2121,10.0221,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,,,,,,0.0145205,0.00438356,0.00438356,0.00438356,Johnson 2011,,HD 116029 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=HD+116029+b&type=PLANET+HOST,0,0.21,0,0.105,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,1,,,0.08,0.04,0.04,0.04,Mortier 2013,http://adsabs.harvard.edu/abs/2013arXiv1307.7870M,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,0,-6.92256,0.181456,0.181456,0.181456,Chubak 2012,http://arxiv.org/abs/1207.6212,,,,,,Calculated,,5.65,116029,65117,,,,,,,,0,6.144,HD 116029,http://exoplanet.eu/star.php?st=HD+116029,36.6,3.1,3.1,3.1,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,5.534,,,,,,,,3.21,0.17,0.17,0.17,Mortier 2013,http://adsabs.harvard.edu/abs/2013arXiv1307.7870M,1.9075,0.193064,0.193064,0.193064,Set to MSINI; I unknown,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,0,1.9075,0.193064,0.193064,0.193064,Calculated,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,1.33,0.11,0.11,0.11,Mortier 2013,http://adsabs.harvard.edu/abs/2013arXiv1307.7870M,0,HD 116029 b,1,21,40,80,80,80,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,2MASS J13203954+2438555,8.117,0.656,0.656,0.656,670,11,11,11,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,RV,,,,,,,13.34431944,+13:20:39.55,,,,,,,,6.9,,,,,,,5.04235,0.161647,0.161647,0.161647,Calculated,http://adsabs.harvard.edu/abs/2010A%26ARv..18...67T,82792,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0269045,0.000448409,0.000448409,0.000448409,Calculated,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,3.65138,0.697068,0.697068,0.697068,Calculated,,0,0.38,0.23,0.23,0.23,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,,,0,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,b,2014,42.16605,+42:09:57.78,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Kepler-207 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-207+b&type=PLANET+HOST,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,1,,,,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,,,,,,,,,,,,,,11.841,,,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,12.1,Kepler-207,http://exoplanet.eu/star.php?st=Kepler-207,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,665.02,11.805,,,,,,,,4.129,0.15,0.15,0.15,,,0.0117295,0.00498603,0.00498603,0.00498603,estimated from radius; see EOD documentation,,0,,,,,,,,,,,,,1,Kepler-207 b,3,,90,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,KOI-665,,,,,1.611865,6.00E-06,6.00E-06,6.00E-06,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Transit,0.140066,0.0267642,0.0267642,0.0267642,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,19.33536944,+19:20:07.33,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,1.588,0.302,0.302,0.302,,,,0,Predicted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0515012,0.000858433,0.000858433,0.000858433,Calculated,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,7.5599,0.273353,0.273353,0.273353,Calculated,,0,,,,,,,,,,,,,0,,,0.654,,b,2007,18.64571389,+18:38:44.57,,,,,,,,,,,,,72.3066,4.08762,3.6724,3.88001,van Leeuwen 2007,http://adsabs.harvard.edu/abs/2007ASSL..350.....V,,,,,,,,,,,,,HD 219828 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=HD+219828+b&type=PLANET+HOST,0,,,,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,1,,,0.19,0.03,0.03,0.03,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,1,-24.1036,0.0748204,0.0748204,0.0748204,Chubak 2012,http://arxiv.org/abs/1207.6212,,0,0,0,0,CALCULATED,,6.613,219828,115100,,,,,,,,0,6.871,HD 219828,http://exoplanet.eu/star.php?st=HD+219828,7,0.5,0.5,0.5,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,,6.53,,,,,,,,4.18,0.02,0.02,0.02,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,0.0622185,0.00490429,0.00490429,0.00490429,Set to MSINI; I unknown,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,0,0.0622185,0.00490429,0.00490429,0.00490429,Calculated,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,1.24,,,,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,0,HD 219828 b,1,22,0,,,,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,,13.83,0.74,0.74,0.74,3.8334999,0.0013,0.0013,0.0013,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,RV,,,,,,,23.31298333,+23:18:46.74,-5.04,,,,,,,1.7,,,,,,,1.4682,0.0471105,0.0471105,0.0471105,Calculated,http://adsabs.harvard.edu/abs/2010A%26ARv..18...67T,108526,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
